time,src_ip,protocol,length
2026-01-15 23:58:13.197982,IPv6,TCP,1486
2026-01-15 23:58:13.198499,IPv6,TCP,1486
2026-01-15 23:58:13.198526,IPv6,TCP,74
2026-01-15 23:58:13.199115,IPv6,TCP,1486
2026-01-15 23:58:13.199755,IPv6,TLS,1486
2026-01-15 23:58:13.199792,IPv6,TCP,74
2026-01-15 23:58:13.200319,IPv6,TCP,1486
2026-01-15 23:58:13.200730,IPv6,TCP,1486
2026-01-15 23:58:13.200774,IPv6,TCP,74
2026-01-15 23:58:13.201793,IPv6,TCP,1486
2026-01-15 23:58:13.202300,IPv6,TCP,1486
2026-01-15 23:58:13.202332,IPv6,TCP,74
2026-01-15 23:58:13.202801,IPv6,TCP,1486
2026-01-15 23:58:13.203525,IPv6,TCP,1486
2026-01-15 23:58:13.203555,IPv6,TCP,74
2026-01-15 23:58:13.204228,IPv6,TCP,1486
2026-01-15 23:58:13.204228,IPv6,TCP,1486
2026-01-15 23:58:13.204279,IPv6,TCP,74
2026-01-15 23:58:13.205155,IPv6,TCP,1486
2026-01-15 23:58:13.207712,IPv6,TCP,1486
2026-01-15 23:58:13.207712,IPv6,TCP,1486
2026-01-15 23:58:13.207712,IPv6,TLS,1486
2026-01-15 23:58:13.207712,IPv6,TCP,1486
2026-01-15 23:58:13.207712,IPv6,TCP,1486
2026-01-15 23:58:13.207821,IPv6,TCP,74
2026-01-15 23:58:13.208313,IPv6,TCP,1486
2026-01-15 23:58:13.208313,IPv6,TCP,1486
2026-01-15 23:58:13.208313,IPv6,TCP,1486
2026-01-15 23:58:13.208390,IPv6,TCP,74
2026-01-15 23:58:13.209906,IPv6,TCP,1486
2026-01-15 23:58:13.209906,IPv6,TCP,1486
2026-01-15 23:58:13.209963,IPv6,TCP,74
2026-01-15 23:58:13.213777,IPv6,TCP,1486
2026-01-15 23:58:13.213840,IPv6,TCP,74
2026-01-15 23:58:13.216501,IPv6,TCP,1486
2026-01-15 23:58:13.217748,IPv6,TCP,1486
2026-01-15 23:58:13.217748,IPv6,TCP,1486
2026-01-15 23:58:13.217748,IPv6,TLS,1486
2026-01-15 23:58:13.217748,IPv6,TCP,1486
2026-01-15 23:58:13.217748,IPv6,TCP,1486
2026-01-15 23:58:13.217800,IPv6,TCP,74
2026-01-15 23:58:13.219800,IPv6,TCP,1486
2026-01-15 23:58:13.219800,IPv6,TCP,1486
2026-01-15 23:58:13.219800,IPv6,TCP,1486
2026-01-15 23:58:13.219800,IPv6,TCP,1486
2026-01-15 23:58:13.219800,IPv6,TCP,1486
2026-01-15 23:58:13.219800,IPv6,TCP,1486
2026-01-15 23:58:13.219800,IPv6,TCP,1486
2026-01-15 23:58:13.219800,IPv6,TCP,1486
2026-01-15 23:58:13.219800,IPv6,TCP,1486
2026-01-15 23:58:13.219800,IPv6,TLS,1486
2026-01-15 23:58:13.219800,IPv6,TCP,1486
2026-01-15 23:58:13.219952,IPv6,TCP,74
2026-01-15 23:58:13.220574,IPv6,TCP,1486
2026-01-15 23:58:13.220574,IPv6,TCP,1486
2026-01-15 23:58:13.220620,IPv6,TCP,74
2026-01-15 23:58:13.222023,IPv6,TCP,1486
2026-01-15 23:58:13.222023,IPv6,TCP,1486
2026-01-15 23:58:13.222023,IPv6,TCP,1486
2026-01-15 23:58:13.222023,IPv6,TCP,1486
2026-01-15 23:58:13.222023,IPv6,TCP,1486
2026-01-15 23:58:13.222076,IPv6,TCP,74
2026-01-15 23:58:13.223342,IPv6,TCP,1486
2026-01-15 23:58:13.223342,IPv6,TCP,1486
2026-01-15 23:58:13.223388,IPv6,TCP,74
2026-01-15 23:58:13.224286,IPv6,TLS,1486
2026-01-15 23:58:13.224286,IPv6,TCP,1486
2026-01-15 23:58:13.224286,IPv6,TCP,1486
2026-01-15 23:58:13.224286,IPv6,TCP,1486
2026-01-15 23:58:13.224357,IPv6,TCP,74
2026-01-15 23:58:13.224777,IPv6,TLS,545
2026-01-15 23:58:13.238075,IPv6,QUIC,91
2026-01-15 23:58:13.267384,IPv6,QUIC,87
2026-01-15 23:58:13.272908,IPv6,TCP,74
2026-01-15 23:58:13.294573,192.168.1.14,TCP,55
2026-01-15 23:58:13.332055,IPv6,QUIC,103
2026-01-15 23:58:13.337923,IPv6,QUIC,86
2026-01-15 23:58:13.409528,IPv6,QUIC,739
2026-01-15 23:58:13.413501,IPv6,QUIC,107
2026-01-15 23:58:13.457076,IPv6,QUIC,113
2026-01-15 23:58:13.457241,52.212.178.60,TCP,66
2026-01-15 23:58:13.472270,IPv6,QUIC,107
2026-01-15 23:58:13.472460,IPv6,QUIC,91
2026-01-15 23:58:13.527008,IPv6,QUIC,88
2026-01-15 23:58:13.739596,IPv6,QUIC,91
2026-01-15 23:58:13.793840,IPv6,QUIC,88
2026-01-15 23:58:13.817692,192.168.1.14,TLS,173
2026-01-15 23:58:13.817764,192.168.1.14,TLS,93
2026-01-15 23:58:13.817788,192.168.1.14,TLS,10229
